project_id|project_name|sector|constituency|funding_source|funding_amount_zmw|status|date_reported|description|source_url|description_clean
ZTC-011|2024 CDF empowerment loans to 31 beneficiaries|other|Mapatizya|CDF|1746232.59|completed|2024-09-24|The council disbursed K1,746,232.59 in CDF empowerment loans to 31 beneficiaries. Completed refers to disbursement, not repayment or business outcomes.|https://www.zimbacouncil.gov.zm/?p=1689|council disbursed k1 746 232 59 cdf empowerment loans 31 beneficiaries completed refers disbursement not repayment business outcomes
ZTC-012|Mapatizya climate-resilient boreholes programme|water_sanitation|Mapatizya|CDF||ongoing|2024-12-18|Five of eleven earmarked boreholes had been drilled, with equipping and tank-stand installation continuing; a dry borehole was reported in Chuundwe. The article also reports a solar upgrade at Masanzya School.|https://www.zimbacouncil.gov.zm/?p=2071|five eleven earmarked boreholes had drilled equipping tank stand installation continuing dry borehole reported chuundwe article also reports solar upgrade masanzya school
ZTC-013|Muzya and Nkungwa 1x3 classroom blocks handover|education|Mapatizya|CDF||completed|2025-05-03|Completed CDF classroom blocks in Muzya and Nkungwa were handed over, with solar systems and desks. The bundled announcement does not explicitly pair each community with a ward.|https://www.zimbacouncil.gov.zm/?p=2477|completed cdf classroom blocks muzya nkungwa handed over solar systems desks bundled announcement does not explicitly pair each community ward
ZTC-014|Mulamfwu Ward 20 climate-resilient water pumps|agriculture|Mulamfwu|CDF||completed|2025-05-03|Twenty climate-resilient water pumps were commissioned and handed over to five zones for year-round food production. The ward spelling is retained from the source.|https://www.zimbacouncil.gov.zm/?p=2490|twenty climate resilient water pumps commissioned handed over five zones year round food production ward spelling retained source
ZTC-015|Mafumba health post construction contract|health|Mafumba|CDF||planned|2025-11-25|Zamtrek Contractors received the CDF contract for construction of a health post in Mafumba Ward.|https://www.zimbacouncil.gov.zm/?p=3193|zamtrek contractors received cdf contract construction health post mafumba ward
ZTC-016|Misika Village rural health centre construction contract|health|Simwatachela|CDF||planned|2025-11-25|Unlimited Eagle Contractors received the CDF contract for a rural health centre at Misika Village, stated here to be in Simwatachela Ward.|https://www.zimbacouncil.gov.zm/?p=3193|unlimited eagle contractors received cdf contract rural health centre misika village stated here simwatachela ward
ZTC-017|Siakasipa Community School 1x3 classroom block contract|education|Kanyanga|CDF||planned|2025-11-25|A CDF contract was awarded to Size Entreprizes for a classroom block; contractors were expected to mobilize and commence works.|https://www.zimbacouncil.gov.zm/?p=3193|cdf contract awarded size entreprizes classroom block contractors expected mobilize commence works
ZTC-018|Siameja Community School 1x3 classroom block contract|education|Mangonda|CDF||planned|2025-11-25|A CDF contract was awarded to Lushann Powers Investment Ltd for a classroom block; contractors were expected to commence works.|https://www.zimbacouncil.gov.zm/?p=3193|cdf contract awarded lushann powers investment ltd classroom block contractors expected commence works
ZTC-019|Simalundu Secondary School 1x3 science laboratory contract|education|Siamafumba|CDF||planned|2025-11-25|A CDF contract was awarded to Tonacha General Dealers for a science laboratory at Simalundu Secondary School.|https://www.zimbacouncil.gov.zm/?p=3193|cdf contract awarded tonacha general dealers science laboratory simalundu secondary school
ZTC-020|Simundivwi Secondary School 1x3 classroom block contract|education|Chidi|CDF||planned|2025-11-25|A CDF contract was awarded to Sternab Enterprise for a classroom block at Simundivwi Secondary School.|https://www.zimbacouncil.gov.zm/?p=3193|cdf contract awarded sternab enterprise classroom block simundivwi secondary school
ZTC-021|Ackson Sejani Road rehabilitation|infrastructure|Mapatizya|CDF||completed|2025-11-25|The council reports completion of rehabilitation of Ackson Sejani Road connecting to Kabanga Market.|https://www.zimbacouncil.gov.zm/?p=3205|council reports completion rehabilitation ackson sejani road connecting kabanga market
ZTC-022|Muzya Road rehabilitation|infrastructure|Mapatizya|CDF||ongoing|2025-11-25|Road works were ongoing during inspection. The article says Muzya Road is part of a K3.2 million allocation, so that programme total is not assigned as this road's cost.|https://www.zimbacouncil.gov.zm/?p=3205|road works ongoing during inspection article says muzya road part k3 2 million allocation so programme total not assigned road s cost
ZTC-023|Treasure Compound water supply ground-breaking|water_sanitation|Mapatizya|CDF|800000.0|planned|2025-12-24|A ground-breaking ceremony launched the K800,000 water supply project with pipes, a booster pump, tank stand and tank, scheduled to commence that month.|https://www.zimbacouncil.gov.zm/?p=3777|ground breaking ceremony launched k800 000 water supply project pipes booster pump tank stand tank scheduled commence month
ZTC-024|Kamukkeza Village maternity annex|health||CDF|2099616.03|completed|2025-12-24|The CDF-funded maternity annex was commissioned and handed over at a stated cost of K2,099,616.03. The village is named but its ward is not.|https://www.zimbacouncil.gov.zm/?p=3782|cdf funded maternity annex commissioned handed over stated cost k2 099 616 03 village named but ward not
ZTC-025|Nakowa Maternity Annex|health|Zimba|CDF|1500000.0|completed|2025-12-24|The Nakowa Maternity Annex was commissioned and handed over to the community at a stated construction cost of K1.5 million.|https://www.zimbacouncil.gov.zm/?p=3792|nakowa maternity annex commissioned handed over community stated construction cost k1 5 million
ZTC-026|Nakowa Maternity Annex accompanying water system|water_sanitation|Zimba|CDF|270000.0|completed|2025-12-24|The commissioned maternity facility's accompanying water system cost K270,000 and will also benefit surrounding residents.|https://www.zimbacouncil.gov.zm/?p=3792|commissioned maternity facility s accompanying water system cost k270 000 will also benefit surrounding residents
ZTC-027|Treasure Compound water extension allocation|water_sanitation|Mapatizya|CDF|800000.0|planned|2025-12-24|The MP announced K800,000 allocated to extend water services to Treasure Compound. A separate same-day post reports the ground-breaking.|https://www.zimbacouncil.gov.zm/?p=3792|mp announced k800 000 allocated extend water services treasure compound separate same day post reports ground breaking
ZTC-028|Zimba Mission Hospital mothers' shelter water improvement allocation|water_sanitation|Mapatizya|CDF||planned|2025-12-24|The MP announced a CDF allocation to improve the water supply at the mothers' shelter without stating its amount.|https://www.zimbacouncil.gov.zm/?p=3792|mp announced cdf allocation improve water supply mothers shelter without stating amount
ZTC-029|Mulamfu health facility maternity annex, staff houses and water system|health|Mulamfu|CDF||near_completion|2026-01-13|The CDF-supported facility is nearing commissioning while plumbing and other remedial works are being completed.|https://www.zimbacouncil.gov.zm/?p=4055|cdf supported facility nearing commissioning while plumbing other remedial works completed
ZTC-030|Presidential Initiatives solar plant|infrastructure||CDF||planned|2026-01-30|Contractors visited the proposed solar plant site opposite Dayow Beef under the 2026 CDF pre-bid process. No ward or project cost is stated.|https://www.zimbacouncil.gov.zm/?p=4100|contractors visited proposed solar plant site opposite dayow beef under 2026 cdf pre bid process no ward project cost stated
ZTC-031|Chuundwe Ward rural health post|health|Chuundwe|CDF||planned|2026-02-26|The approved programme includes commencement of a rural health post in Chuundwe Ward.|https://www.zimbacouncil.gov.zm/?p=4132|approved programme includes commencement rural health post chuundwe ward
ZTC-032|Kabanga Secondary School and other schools desk provision|education|Simwatachela|CDF||planned|2026-02-26|The 2026 approved CDF programme includes desks at Kabanga Secondary School and other schools enrolling Form One pupils.|https://www.zimbacouncil.gov.zm/?p=4132|2026 approved cdf programme includes desks kabanga secondary school other schools enrolling form one pupils
ZTC-033|Kakopa Primary School 1x3 classroom block|education|Luyaba|CDF||planned|2026-02-26|A 1x3 classroom block is approved for Kakopa Primary School in Luyaba Ward.|https://www.zimbacouncil.gov.zm/?p=4132|1x3 classroom block approved kakopa primary school luyaba ward
ZTC-034|Mafumba Rural Health Post staff house, waste system and equipment|health|Mafumba|CDF||planned|2026-02-26|The government approved a staff house, waste management system, beds, chairs and medical equipment at Mafumba Rural Health Post.|https://www.zimbacouncil.gov.zm/?p=4132|government approved staff house waste management system beds chairs medical equipment mafumba rural health post
ZTC-035|Misika Rural Health Centre staff house, water, waste and equipment|health|Misika|CDF||planned|2026-02-26|Approved works comprise a staff house, water reticulation, waste management, beds, chairs and medical equipment. The source names Misika here without explicitly calling it a ward.|https://www.zimbacouncil.gov.zm/?p=4132|approved works comprise staff house water reticulation waste management beds chairs medical equipment source names misika here without explicitly calling ward
ZTC-036|Mooka Primary School 1x3 classroom block|education|Siamafumba|CDF||planned|2026-02-26|A 1x3 classroom block will be constructed at Mooka Primary School under the approved 2026 programme.|https://www.zimbacouncil.gov.zm/?p=4132|1x3 classroom block will constructed mooka primary school under approved 2026 programme
ZTC-037|Simukanda Primary School 1x3 classroom block|education|Chidi|CDF||planned|2026-02-26|A 1x3 classroom block is approved for Simukanda Primary School in Chidi Ward.|https://www.zimbacouncil.gov.zm/?p=4132|1x3 classroom block approved simukanda primary school chidi ward
ZTC-038|Sindowe Primary School 1x3 classroom block|education|Mangonda|CDF||planned|2026-02-26|A 1x3 classroom block is approved for Sindowe Primary School in Mangonda Ward.|https://www.zimbacouncil.gov.zm/?p=4132|1x3 classroom block approved sindowe primary school mangonda ward
ZTC-039|Syejumba Village rural health centre|health|Kanyanga|CDF||planned|2026-02-26|The approved programme includes construction of a rural health centre at Syejumba Village in Kanyanga Ward.|https://www.zimbacouncil.gov.zm/?p=4132|approved programme includes construction rural health centre syejumba village kanyanga ward
ZTC-040|Tore Shultz Primary School 1x3 classroom block|education|Zimba|CDF||planned|2026-02-26|A 1x3 classroom block is approved for Tore Shultz Primary School in Zimba Ward.|https://www.zimbacouncil.gov.zm/?p=4132|1x3 classroom block approved tore shultz primary school zimba ward
ZTC-041|Mulamfu Ward 20 agricultural water pumps monitoring|agriculture|Mulamfu|CDF||unspecified|2026-03-13|The council monitored 20 CDF water pumps distributed the previous year to support winter farming. This is a monitoring update, not an additional procurement.|https://www.zimbacouncil.gov.zm/?p=4151|council monitored 20 cdf water pumps distributed previous year support winter farming monitoring update not additional procurement
ZTC-042|Mapatizya Clinic maternity annex|health|Mapatizya|CDF||unspecified|2026-04-01|The article identifies a CDF maternity annex with an antenatal clinic and labour ward. Its conflicting attribution of the separate mothers' shelter is not used.|https://www.zimbacouncil.gov.zm/?p=4180|article identifies cdf maternity annex antenatal clinic labour ward conflicting attribution separate mothers shelter not used
ZTC-043|Siameja Community School 1x3 classroom block|education|Mapatizya|CDF|1265906.8|completed|2026-04-27|A 1x3 classroom block at Siameja Community School was commissioned at a stated cost of K1,265,906.80.|https://www.zimbacouncil.gov.zm/?p=4201|1x3 classroom block siameja community school commissioned stated cost k1 265 906 80
ZTC-044|Zimba Mission Hospital mothers' shelter ablution and water system|water_sanitation|Mapatizya|CDF|600000.0|completed|2026-04-27|An ablution block and water reticulation system at the mothers' shelter were commissioned under the 2025 CDF for K600,000.|https://www.zimbacouncil.gov.zm/?p=4201|ablution block water reticulation system mothers shelter commissioned under 2025 cdf k600 000
